rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Michigan,B10,10-0,126.20571668788259,5,90.3319741685333,1,0.9790788231292107,1,27.700681544866548,3.299318455133448,17.09080504439289,2.9091949556071093,2-0,0.7168384978539005,0.7592613134978787,0.5471472352779876,0.7868085478719983,0.7295704530577707,0.8182895000198233,0.6151560163474775,0.6670723948939713,114.762558310402,103.83178948778826,116.77686861503608,101.70236560876417,138.32115350608098,105.72444477996906,124.9181911475597,81.77147918725548,0.9924069594053764,5.0,0.09598139423712093,202.0,143.0,142.5125,1.4174195246031052,1.0034207525655645,0.8484164183244718,1.0,4.090144475704328,1,58,73.487448536869
2,Duke,ACC,10-0,122.58941184564296,13,92.81794732625713,4,0.9608082024678422,2,26.620503940423475,4.379496059576518,14.528800460918,3.471199539081999,0-0,0.5481496258852806,0.5481496258852806,0,0.7102078207199273,0.595314783317348,0.7931861255106787,0.6545147481814145,0.6785619790241366,108.84916698588668,104.94574812008989,113.67241800846054,102.32468273388783,0.0,0.0,121.08328932245863,89.8035907918953,0.9688355669698476,5.0,0.16500895327341802,0.0,0.0,0.0,0,0,0.7931861255106787,0,3.5706115681958366,3,11,68.6406263722314
3,Houston,B12,10-1,119.826435639086,29,90.97800241964816,2,0.9595891020891972,3,25.555419465323386,5.44458053467661,13.892706551135975,4.107293448864025,0-0,0.5122285502509695,0.5122285502509695,0,0.7035322574608608,0.5412061243222961,0.8207677980609352,0.686875643700763,0.8020080128223065,108.79703250660559,107.77119640209017,113.70978500636853,103.31053709737776,0.0,0.0,126.29275733093102,102.49725206430819,0.9168895808792432,2.0,-0.0014746311060039874,0.0,0.0,0.0,0,0,0.8207677980609352,0,1.753926158699322,17,172,63.92602031989625
4,Gonzaga,WCC,10-1,123.46604090349321,8,93.97941037407631,6,0.9584428321683145,4,28.103378549553394,2.8966214504466117,16.261726939109415,1.7382730608905845,0-0,0.6469111410577914,0.6469111410577914,0,0.6003160186877962,0.631387110623212,0.5778757856233292,0.765594270100222,0.7075333140728304,113.64941539091032,104.99178062823566,110.96822639800043,105.49772975576083,0.0,0.0,125.59407105392086,95.29508487480447,0.9598780762174645,4.0,0.09974174285463855,0.0,0.0,0.0,0,0,0.5778757856233292,0,3.4327235713345736,5,55,71.39090012248944
5,Connecticut,BE,10-1,122.63941050119644,12,94.04734143322446,7,0.9548979428717584,5,26.61171997266913,4.388280027330871,16.611719972669132,3.3882800273308704,0-0,0.6029151532953448,0.6029151532953448,0,0.7024796970973135,0.6029151532953451,0.7572401961883963,0.6921456489278042,0.683110229798365,111.34080505737256,104.17457895783996,113.41918276610129,103.28538508559826,0.0,0.0,122.87373223826248,91.23037477551165,0.9684568558214628,5.0,0.11320540705596416,0.0,0.0,0.0,0,0,0.7572401961883963,0,3.3382581690013144,6,43,66.05291732725793
6,Arizona,B12,9-0,122.8995561816254,10,94.67656268094996,11,0.9525904170588257,6,25.980871768796575,5.019128231203427,13.238179491787069,4.76182050821293,0-0,0.6089156705491933,0.6089156705491933,0,0.72538532603084,0.5728398462939579,0.8355570613963658,0.6493828972559216,0.7380360561855727,113.41000788959595,105.3617400525576,114.63749671030345,102.40855498198964,0.0,0.0,125.91279914764922,90.06713617669257,0.9792226144539193,5.0,0.22098029018370902,0.0,0.0,0.0,0,0,0.8355570613963658,0,3.5950747494880737,2,3,72.02444050126154
7,Iowa St.,B12,11-0,122.47103331173878,14,94.540234451602,9,0.9515132889152055,7,26.254230804845353,4.745769195154648,13.27631573881722,4.72368426118278,0-0,0.5235929838431308,0.5235929838431308,0,0.683131543149894,0.47803058216641736,0.8312600149712935,0.6764045694866678,0.790929256369523,108.9967689260941,107.07138801466057,113.35299015201196,103.78097695983382,0.0,0.0,127.57796111307049,92.72802341717896,0.9751359629384895,3.0,0.15876576693207245,0.0,0.0,0.0,0,0,0.8312600149712935,0,3.4615659305294426,4,13,70.41694072354596
8,Purdue,B10,10-1,126.43938369664224,4,98.29863962595704,26,0.947606534441591,8,23.816974298663013,7.183025701336994,14.123832054397687,5.876167945602313,2-0,0.6236665644878637,0.6301066997056115,0.5946859560079991,0.7654750737443972,0.6410064334765208,0.8339328258917293,0.6244283751905997,0.7362755102915906,112.53440696570755,105.63565739398837,116.70467798410257,102.47371906791625,129.27634988320807,94.59624957851486,126.18184694869679,94.4867974287073,0.9653280096827281,3.0,0.07033294915668264,166.0,122.0,130.14999999999998,1.2754514022281984,0.9373799462159049,0.8605158114343661,1.0,2.608790796973003,10,90,65.38302402360588
9,Vanderbilt,SEC,10-0,127.362684214403,1,99.12084136369396,32,0.9470016135694386,9,25.241478972067654,5.758521027932344,12.862702042079373,5.137297957920624,0-0,0.5117414783293804,0.5117414783293804,0,0.719404105078806,0.5331419994712151,0.8539267369065107,0.6668415400133731,0.7960389624977647,108.12630832670497,107.22341227325326,114.20936465531527,103.1250768489003,0.0,0.0,147.42282479094456,101.73112760500882,0.9861588596202298,2.0,0.10402511336029119,0.0,0.0,0.0,0,0,0.8539267369065107,0,2.439667131693052,11,51,71.13414264220003
10,Louisville,ACC,9-1,126.52311275806383,3,98.76743611262957,29,0.9452181085881539,10,24.427988676013815,6.572011323986185,13.233333184106195,4.766666815893805,0-0,0.5215648013196248,0.5215648013196248,0,0.6997627405186243,0.5636648517475359,0.7980556601866325,0.6735329823664542,0.7494848015595207,106.93048117324432,105.52446871504428,112.98820671447812,102.64873568048304,0.0,0.0,129.40545946301367,100.32808512232828,0.9491557759859923,3.0,0.047426208976050765,0.0,0.0,0.0,0,0,0.7980556601866325,0,1.8565532431538,14,112,71.89373952565663
