Rk,Team,Conf,NetRtg,off,def,tempo,off_pct,def_pct,tempo_rk,off_poss_length
1,Michigan,B10,37.63,125.2,87.6,73.2,0.984,0,0.97,14.8
2,Gonzaga,WCC,32.99,125.2,92.2,71.1,0.984,0.014,0.854,15.7
3,Iowa St.,B12,32.81,123.6,90.8,70.1,0.973,0.003,0.714,15.7
4,Duke,ACC,32.57,124,91.5,67.7,0.975,0.005,0.374,15.4
5,Arizona,B12,32.37,125,92.6,71.6,0.981,0.016,0.89,15.8
6,Purdue,B10,29.97,127.4,97.5,65.5,1,0.06,0.088,18.1
7,Connecticut,BE,28.76,121.5,92.7,65.8,0.956,0.019,0.11,18.4
8,Houston,B12,28.19,120,91.8,63.9,0.92,0.011,0.016,18.1
9,BYU,B12,28.04,124.3,96.3,69.6,0.978,0.036,0.626,15.4
10,Louisville,ACC,27.74,127.1,99.3,71.8,0.997,0.088,0.896,14.7
11,Vanderbilt,SEC,27.38,125.8,98.4,71.3,0.989,0.08,0.868,15.5
12,Michigan St.,B10,26.67,118.4,91.7,66.5,0.874,0.008,0.198,
13,Florida,SEC,26.37,120,93.6,71.5,0.92,0.025,0.882,16.1
14,Illinois,B10,26.31,126,99.7,68.4,0.995,0.107,0.462,
15,Alabama,SEC,24.87,125.8,100.9,74.4,0.989,0.148,0.981,
16,St. John's,BE,24.31,120.7,96.4,71.5,0.94,0.038,0.882,15
17,Kansas,B12,23.98,116.9,93,67.1,0.841,0.022,0.288,
18,Tennessee,SEC,23.1,119.1,96,67.8,0.893,0.033,0.39,
19,Kentucky,SEC,22.8,119.2,96.4,69.4,0.901,0.038,0.593,15.2
20,Iowa,B10,22.68,120.1,97.4,63.9,0.926,0.058,0.016,19.2
21,Nebraska,B10,21.97,120.1,98.2,69.5,0.926,0.074,0.604,16.2
22,Georgia,SEC,21.79,120.9,99.2,74.8,0.945,0.085,0.989,14.2
23,Texas Tech,B12,21.49,120.9,99.4,67.5,0.945,0.093,0.335,17.2
24,Virginia,ACC,21.46,122.8,101.3,67.8,0.964,0.162,0.39,
25,Arkansas,SEC,21.38,120.8,99.4,70.8,0.942,0.093,0.819,15.3
26,Indiana,B10,21.17,117.8,96.7,69.3,0.863,0.044,0.582,
27,North Carolina,ACC,21.14,118.8,97.7,68.8,0.885,0.063,0.508,
28,N.C. State,ACC,20.12,120.9,100.8,70.5,0.945,0.14,0.772,
29,Auburn,SEC,20.06,122.9,102.8,69.1,0.967,0.195,0.552,
30,Clemson,ACC,19.84,119.5,99.7,65.3,0.909,0.107,0.071,
31,UCLA,B10,19.74,119.1,99.4,65.3,0.893,0.093,0.071,
32,Saint Mary's,WCC,19.38,116.1,96.7,66.8,0.83,0.044,0.245,
33,LSU,SEC,19.18,119.3,100.1,69.6,0.904,0.115,0.626,
34,Villanova,BE,19.14,120.1,100.9,64.9,0.926,0.148,0.055,
35,Baylor,B12,19.13,123.2,104.1,70.7,0.97,0.25,0.794,
36,Miami FL,ACC,18.53,116.4,97.9,70.7,0.832,0.066,0.794,
37,Wisconsin,B10,18.24,119,100.8,71.1,0.887,0.14,0.854,
38,USC,B10,18.04,118.5,100.4,71.3,0.876,0.129,0.868,
39,Ohio St.,B10,17.93,119,101.1,69.9,0.887,0.159,0.676,
40,Utah St.,MWC,17.56,118,100.4,69.3,0.868,0.129,0.582,
41,Saint Louis,A10,17.48,116.4,98.9,72.7,0.832,0.082,0.945,
42,Wake Forest,ACC,17.25,117.1,99.8,70.8,0.849,0.113,0.819,
43,SMU,ACC,16.9,118.6,101.7,70.2,0.882,0.176,0.736,
44,VCU,A10,16.55,114.5,98,70.9,0.797,0.069,0.832,
45,Boise St.,MWC,16.47,113.6,97.2,67.7,0.769,0.052,0.374,
46,San Diego St.,MWC,16.26,117.2,100.9,69.2,0.857,0.148,0.569,
47,Oklahoma,SEC,16.1,120.3,104.2,67.6,0.937,0.253,0.349,
48,Washington,B10,16.06,117.4,101.3,68.1,0.86,0.162,0.415,
49,Texas,SEC,15.95,119.8,103.8,68.6,0.918,0.236,0.489,
50,Seton Hall,BE,15.92,111.8,95.9,66.7,0.695,0.03,0.231,
51,Butler,BE,15.41,119.1,103.7,70.1,0.893,0.231,0.714,
52,Missouri,SEC,15.37,120.1,104.8,68.6,0.926,0.288,0.489,
53,Texas A&M,SEC,15.32,117,101.7,72.1,0.843,0.176,0.912,
54,UCF,B12,15.11,119.6,104.5,69.8,0.912,0.275,0.654,
55,Oklahoma St.,B12,14.69,117.1,102.4,74.3,0.849,0.187,0.978,
56,TCU,B12,14.41,111.7,97.3,69,0.69,0.055,0.536,
57,Mississippi,SEC,14.24,114.5,100.2,66.2,0.797,0.118,0.168,
58,Northwestern,B10,14.06,118,104,67.7,0.868,0.242,0.374,
59,Notre Dame,ACC,14.04,115.5,101.4,66.1,0.81,0.17,0.148,
60,Virginia Tech,ACC,13.46,116,102.5,69.8,0.821,0.19,0.654,
61,Colorado,B12,13.4,119.3,105.9,69.7,0.904,0.341,0.646,
62,Colorado St.,MWC,13.24,122.3,109,63.3,0.959,0.514,0.008,
63,Arizona St.,B12,12.97,116,103.1,69.6,0.821,0.212,0.626,
64,Santa Clara,WCC,12.94,117.1,104.2,69.9,0.849,0.253,0.676,
65,Akron,MAC,12.85,122.6,109.7,72.4,0.962,0.571,0.929,
66,Providence,BE,12.56,119.6,107,72.6,0.912,0.398,0.934,
67,Dayton,A10,12.53,112.7,100.2,69.5,0.736,0.118,0.604,
68,George Mason,A10,12.52,112.8,100.3,66.1,0.742,0.124,0.148,
69,West Virginia,B12,12.3,111.6,99.3,64.8,0.684,0.088,0.049,
70,McNeese,Slnd,12.25,112.6,100.4,68.2,0.731,0.129,0.437,
71,Kansas St.,B12,12.24,117,104.7,73,0.843,0.286,0.959,
72,Memphis,Amer,11.83,112.5,100.6,69.6,0.723,0.137,0.626,
73,Creighton,BE,11.79,115.6,103.8,65.9,0.813,0.236,0.121,
74,Tulsa,Amer,11.74,118.5,106.7,68.2,0.876,0.374,0.437,
75,Syracuse,ACC,11.56,111.9,100.3,68.1,0.703,0.124,0.415,
76,California,ACC,11.56,114.3,102.8,68.6,0.786,0.195,0.489,
77,New Mexico,MWC,11.49,112.8,101.3,69.9,0.742,0.162,0.676,
78,Yale,Ivy,11.06,121.4,110.3,66.3,0.953,0.604,0.181,
79,Belmont,MVC,10.94,114.4,103.4,71,0.788,0.223,0.841,
80,Mississippi St.,SEC,10.66,113.7,103,69.5,0.772,0.203,0.604,
81,George Washington,A10,10.58,117.8,107.2,71,0.863,0.409,0.841,
82,Utah Valley,WAC,10.5,109.9,99.4,70.5,0.64,0.093,0.772,
83,Cincinnati,B12,10.48,104.2,93.8,71.2,0.349,0.027,0.86,
84,Oregon,B10,10.42,114.4,104,68.6,0.788,0.242,0.489,
85,Xavier,BE,10.33,112.8,102.5,70,0.742,0.19,0.692,
86,South Florida,Amer,9.43,112.9,103.4,72.9,0.75,0.223,0.951,
87,UC San Diego,BW,9.29,115.2,105.9,69.8,0.808,0.341,0.654,
88,South Carolina,SEC,8.93,112.1,103.2,66.9,0.709,0.217,0.264,
89,Nevada,MWC,8.81,113.9,105.1,66.8,0.775,0.305,0.245,
90,Stanford,ACC,8.78,113,104.2,70.7,0.755,0.253,0.794,
91,Northern Iowa,MVC,8.24,106.2,98,64.2,0.462,0.069,0.03,
92,Grand Canyon,MWC,8.04,108.8,100.8,68.1,0.58,0.14,0.415,
93,Wyoming,MWC,8,112.2,104.2,69.5,0.712,0.253,0.604,
94,San Francisco,WCC,7.98,112.2,104.2,66.3,0.712,0.253,0.181,
95,Richmond,A10,7.81,111.8,104,70.3,0.695,0.242,0.753,
96,Murray St.,MVC,7.73,115.8,108.1,72.6,0.816,0.467,0.934,
97,Wichita St.,Amer,7.68,111.3,103.6,66,0.679,0.228,0.129,
98,Marquette,BE,7.55,110.4,102.9,70.7,0.654,0.201,0.794,
99,Illinois St.,MVC,7.37,112.5,105.1,67.6,0.723,0.305,0.349,
100,Maryland,B10,7.26,111.7,104.4,69.2,0.69,0.272,0.569,
101,High Point,BSth,7.15,116.8,109.6,71,0.838,0.566,0.841,
102,Rhode Island,A10,6.8,109.9,103.1,67.6,0.64,0.212,0.349,
103,Georgetown,BE,6.68,111.9,105.2,68.5,0.703,0.31,0.478,
104,Hawaii,BW,6.6,104.8,98.2,70.1,0.376,0.074,0.714,
105,Florida St.,ACC,6.59,111.5,104.9,74.4,0.681,0.294,0.981,
106,UNC Wilmington,CAA,6.54,114.2,107.7,64.8,0.783,0.448,0.049,
107,Penn St.,B10,6.54,115.9,109.4,68.6,0.819,0.547,0.489,
108,Minnesota,B10,6.44,110.6,104.2,64.7,0.659,0.253,0.044,
109,Hofstra,CAA,5.85,110.5,104.6,67.6,0.657,0.28,0.349,
110,Seattle,WCC,5.79,108.8,103,67.6,0.58,0.203,0.349,
111,Winthrop,BSth,5.65,116,110.3,69.6,0.821,0.604,0.626,
112,Liberty,CUSA,5.61,113.5,107.9,66.1,0.766,0.459,0.148,
113,Bowling Green,MAC,5.54,108.6,103,69.4,0.569,0.203,0.593,
114,St. Bonaventure,A10,5.52,111.2,105.7,67.5,0.673,0.33,0.335,
115,East Tennessee St.,SC,5.47,111,105.5,68.8,0.67,0.319,0.508,
116,UAB,Amer,5.43,112.4,107,69.7,0.717,0.398,0.646,
117,Florida Atlantic,Amer,5.37,114.6,109.3,68.2,0.802,0.538,0.437,
118,Pittsburgh,ACC,5.34,112.7,107.4,64.1,0.736,0.42,0.025,
119,Miami OH,MAC,4.8,112.4,107.6,70.8,0.717,0.44,0.819,
120,Davidson,A10,4.76,111.2,106.5,66,0.673,0.368,0.129,
121,DePaul,BE,4.7,107.9,103.2,68.2,0.533,0.217,0.437,
122,Southern Illinois,MVC,4.45,109.5,105,70.9,0.618,0.297,0.832,
123,Sam Houston St.,CUSA,4.43,112.5,108,70.9,0.723,0.464,0.832,
124,Pacific,WCC,4.37,109.2,104.8,66,0.604,0.288,0.129,
125,UC Irvine,BW,4.36,101.3,96.9,69.5,0.201,0.049,0.604,
126,Bradley,MVC,4.22,107.9,103.7,68.3,0.533,0.231,0.451,
127,William & Mary,CAA,4.05,109.7,105.6,75.1,0.632,0.324,0.992,
128,Columbia,Ivy,3.79,109.8,106,68,0.637,0.352,0.398,
129,Cal Baptist,WAC,3.77,109.6,105.9,68.5,0.629,0.341,0.478,
130,Utah,B12,3.59,112.6,109,69.3,0.731,0.514,0.582,
131,Drake,MVC,2.88,111.8,108.9,67,0.695,0.508,0.286,
132,Loyola Marymount,WCC,2.83,105.1,102.3,67.2,0.393,0.184,0.302,
133,Georgia Tech,ACC,2.72,103.8,101,70.7,0.324,0.157,0.794,
134,North Texas,Amer,2.53,104,101.5,65.3,0.335,0.173,0.071,
135,New Mexico St.,CUSA,2.43,108.1,105.7,67.5,0.547,0.33,0.335,
136,Kent St.,MAC,2.42,113.1,110.7,72.9,0.758,0.643,0.951,
137,Lipscomb,ASun,2.36,108,105.7,70.4,0.544,0.33,0.761,
138,Boston College,ACC,2.01,103.9,101.9,66.4,0.332,0.181,0.192,
139,Duquesne,A10,2,109.4,107.4,72,0.61,0.42,0.909,
140,St. Thomas,Sum,1.97,109.3,107.3,68.8,0.607,0.415,0.508,
141,Troy,SB,1.91,109,107,68.4,0.596,0.398,0.462,
142,Towson,CAA,1.87,108.2,106.3,63.4,0.552,0.36,0.011,
143,Stephen F. Austin,Slnd,1.83,107.7,105.9,67.6,0.522,0.341,0.349,
144,Wright St.,Horz,1.77,108.5,106.7,66.7,0.563,0.374,0.231,
145,UNLV,MWC,1.61,109.4,107.8,72.8,0.61,0.451,0.948,
146,North Dakota St.,Sum,1.61,108.2,106.6,69.3,0.552,0.371,0.582,
147,Rutgers,B10,1.59,107.9,106.3,66.7,0.533,0.36,0.231,
148,UC Santa Barbara,BW,1.43,112.9,111.5,66.6,0.75,0.69,0.22,
149,Oakland,Horz,1.1,114.4,113.3,72.4,0.788,0.791,0.929,
150,Western Kentucky,CUSA,1,107.8,106.8,71.9,0.53,0.387,0.901,
151,Arkansas St.,SB,0.67,108.8,108.1,73.1,0.58,0.467,0.962,
152,Marshall,SB,0.6,109,108.4,70.1,0.596,0.489,0.714,
153,Siena,MAAC,0.43,105.4,105,65.5,0.412,0.297,0.088,
154,Marist,MAAC,0.41,99.8,99.4,68.1,0.135,0.093,0.415,
155,Furman,SC,0.34,109.5,109.1,67.7,0.618,0.522,0.374,
156,Middle Tennessee,CUSA,0.22,108.4,108.2,67.5,0.56,0.478,0.335,
157,Temple,Amer,0.14,114,113.8,67.1,0.777,0.83,0.288,
158,Mercer,SC,0.08,109.5,109.4,70.4,0.618,0.547,0.761,
159,Northern Colorado,BSky,0.06,108.9,108.8,69.2,0.593,0.5,0.569,
160,Idaho St.,BSky,0.05,107.6,107.6,64.5,0.516,0.44,0.036,
161,Toledo,MAC,0.05,113.3,113.2,69.6,0.761,0.783,0.626,
162,Massachusetts,MAC,-0.09,105.7,105.8,73.1,0.437,0.338,0.962,
163,Quinnipiac,MAAC,-0.25,105.7,106,71.9,0.437,0.352,0.901,
