Rk,Team,Conf,NetRtg,off,def,tempo,off_pct,def_pct,tempo_rk,off_poss_length
1,Michigan,B10,37.63,125.2,87.6,73.2,0.778,0,0.944,14.8
2,Gonzaga,WCC,32.99,125.2,92.2,71.1,0.778,0.222,0.611,15.7
3,Iowa St.,B12,32.81,123.6,90.8,70.1,0.556,0.056,0.5,15.7
4,Duke,ACC,32.57,124,91.5,67.7,0.611,0.111,0.278,15.4
5,Arizona,B12,32.37,125,92.6,71.6,0.722,0.278,0.833,15.8
6,Purdue,B10,29.97,127.4,97.5,65.5,1,0.667,0.111,18.1
7,Connecticut,BE,28.76,121.5,92.7,65.8,0.5,0.333,0.167,18.4
8,Houston,B12,28.19,120,91.8,63.9,0.056,0.167,0,18.1
9,BYU,B12,28.04,124.3,96.3,69.6,0.667,0.444,0.444,15.4
10,Louisville,ACC,27.74,127.1,99.3,71.8,0.944,0.889,0.889,14.7
11,Vanderbilt,SEC,27.38,125.8,98.4,71.3,0.889,0.778,0.667,15.5
13,Florida,SEC,26.37,120,93.6,71.5,0.056,0.389,0.722,16.1
16,St. John's,BE,24.31,120.7,96.4,71.5,0.278,0.5,0.722,15
19,Kentucky,SEC,22.8,119.2,96.4,69.4,0,0.5,0.333,15.2
20,Iowa,B10,22.68,120.1,97.4,63.9,0.167,0.611,0,19.2
21,Nebraska,B10,21.97,120.1,98.2,69.5,0.167,0.722,0.389,16.2
22,Georgia,SEC,21.79,120.9,99.2,74.8,0.389,0.833,1,14.2
23,Texas Tech,B12,21.49,120.9,99.4,67.5,0.389,0.944,0.222,17.2
25,Arkansas,SEC,21.38,120.8,99.4,70.8,0.333,0.944,0.556,15.3
