Rank,Team,Adj OE,Adj DE,Barthag,eFG
1,Michigan,128.424,87.074,0.989,61.1
2,Connecticut,121.525,90.118,0.969,55.7
3,Purdue,128.661,95.483,0.969,58.8
4,Arizona,123.396,92.025,0.967,57.6
5,Vanderbilt,127.563,95.501,0.965,59.8
6,Iowa St.,125.789,94.814,0.963,60.7
7,Gonzaga,125.004,94.662,0.961,58
8,Houston,122.429,93.549,0.957,52.2
9,Alabama,133.385,102.269,0.955,56.5
10,Illinois,127.365,97.674,0.955,56.1
11,Louisville,127.158,99.417,0.944,56.8
12,Duke,123.493,97.085,0.941,58.1
13,Kansas,118.089,93.053,0.939,53.3
14,Tennessee,120.606,95.287,0.938,55.1
15,Iowa,122.006,96.681,0.936,60.5
16,Michigan St.,116.92,92.694,0.935,52.6
17,Florida,119.56,95.346,0.931,51.3
18,BYU,123.169,98.32,0.93,57.3
19,Indiana,122.286,97.731,0.929,57.8
20,Virginia,123.875,99.748,0.924,56.8
21,St. John's,119.247,97.095,0.914,52.3
22,Arkansas,123.376,100.677,0.912,56.2
23,Nebraska,118.244,96.492,0.912,55.6
24,Texas Tech,123.783,101.118,0.911,55.9
25,North Carolina,118.683,97.656,0.904,54.4
26,Saint Mary's,121.485,101.038,0.893,53.3
27,N.C. State,119.138,99.322,0.89,56.5
28,Clemson,116.762,97.648,0.887,53.2
29,Georgia,120.726,101.041,0.886,56.6
30,SMU,123.674,103.528,0.885,56.8
31,Villanova,119.52,100.318,0.882,55
32,Kentucky,118.23,99.24,0.882,54.8
33,Utah St.,119.263,100.337,0.879,58.1
34,UCLA,121.252,102.323,0.876,55.3
35,LSU,121.668,102.699,0.875,57
36,Auburn,124.473,105.816,0.866,54.2
37,Miami FL,117.022,99.713,0.863,57.6
38,Saint Louis,120.946,103.127,0.862,60.6
39,Texas A&M,118.283,101.226,0.857,57.5
40,USC,118.964,102.225,0.851,54.1
41,Santa Clara,120.472,103.597,0.85,54.3
42,Seton Hall,109.772,94.523,0.848,49
43,Ohio St.,120.361,103.878,0.845,57.9
44,Creighton,115.59,99.861,0.843,54.4
45,UCF,121.515,105.335,0.838,56
46,Baylor,124.459,107.908,0.838,56
47,TCU,112.822,97.897,0.836,52.7
48,Boise St.,111.992,97.208,0.836,49.5
49,Butler,118.094,102.926,0.829,52.7
50,San Diego St.,114.964,100.433,0.825,53.9
51,Wisconsin,115.757,101.286,0.823,53.1
52,Texas,120.521,105.521,0.822,54.4
53,Washington,114.928,100.965,0.816,50.5
54,West Virginia,112.796,99.723,0.805,52.9
55,VCU,120.069,106.24,0.803,56.3
56,Wake Forest,112.683,99.797,0.802,51.9
57,Illinois St.,112.879,100.001,0.801,56.1
58,Northern Iowa,103.709,92.059,0.797,52.7
59,Stanford,114.263,101.444,0.797,50.5
60,Missouri,118.873,105.591,0.796,58.2
61,Tulsa,122.576,108.929,0.795,57.8
62,Akron,123.97,110.243,0.794,59.9
63,Oregon,115.823,103.089,0.792,51.5
64,Oklahoma,121.377,108.089,0.791,57
65,Virginia Tech,113.268,101.146,0.786,52.8
66,Nevada,116.949,104.441,0.786,49
67,New Mexico,111.819,99.945,0.784,51.9
68,George Washington,121.032,108.354,0.781,57
69,Notre Dame,112.554,100.842,0.78,53.4
70,Cincinnati,104.136,93.392,0.778,50.1
71,Memphis,109.361,98.098,0.777,48.6
72,Northwestern,117.938,106.139,0.771,54.3
73,Oklahoma St.,117.414,105.716,0.77,54.7
74,Utah Valley,112.241,101.071,0.77,57.1
75,McNeese St.,115.613,104.215,0.767,52
76,South Florida,115.54,104.18,0.767,50.9
77,Syracuse,111.002,100.101,0.767,52
78,Kansas St.,116.658,105.244,0.766,56.8
79,Dayton,110.263,99.536,0.764,52.2
80,California,113.416,102.629,0.759,54.7
81,Colorado St.,121.973,110.707,0.753,60.7
82,Belmont,115.371,104.956,0.748,60.9
83,Minnesota,111.223,101.253,0.747,53.6
84,UC San Diego,116.623,106.169,0.746,56.5
85,Hawaii,106.532,97.136,0.743,53.3
86,High Point,120.27,109.77,0.741,57.4
87,Murray St.,117.994,107.758,0.74,56.6
88,Yale,122.251,111.677,0.739,57.1
89,Colorado,119.529,109.203,0.739,55.6
90,Providence,119.53,109.357,0.736,54.8
91,Arizona St.,115.346,106.012,0.725,53.2
92,Mississippi,111.282,102.413,0.722,51.4
93,Middle Tennessee,112.523,103.723,0.718,51.1
94,Wichita St.,114.846,105.895,0.718,50.9
95,Pittsburgh,113.716,105.18,0.71,52.9
96,Mississippi St.,112.962,104.484,0.71,52.3
97,Seattle,107.586,99.642,0.707,52.2
98,Grand Canyon,106.784,99.043,0.704,50.1
99,Miami OH,116.096,107.681,0.704,59.1
100,South Carolina,112.548,104.755,0.695,54.2
101,Wyoming,112.935,105.363,0.69,53.6
102,UAB,112.478,105.049,0.687,49.7
103,George Mason,112.559,105.315,0.682,53.9
104,William & Mary,110.297,103.217,0.682,56
105,Hofstra,113.924,106.699,0.68,53.6
106,San Francisco,111.743,104.702,0.679,51.5
107,Florida Atlantic,113.76,106.798,0.674,54.4
108,Stephen F. Austin,110.068,103.624,0.667,52
109,Florida St.,112.213,105.874,0.661,51
110,Bowling Green,108.877,102.891,0.657,52.6
111,Liberty,114.666,108.667,0.65,58.9
112,St. Thomas,111.625,105.786,0.65,56.6
113,UC Irvine,104.603,99.276,0.646,49.6
114,Xavier,111.759,106.538,0.634,49.8
115,Wright St.,110.088,104.982,0.633,53.8
116,DePaul,107.035,102.073,0.633,51.5
117,Richmond,113.26,108.13,0.63,55.4
118,St. Bonaventure,113.125,108.117,0.627,52.8
119,UNLV,110.907,106.058,0.626,51
120,Georgetown,114.66,109.652,0.626,50.2
121,Davidson,109.741,105.231,0.618,53.3
122,Maryland,109.777,105.466,0.613,47.5
123,Georgia Tech,106.935,102.867,0.61,51.2
124,Utah,115.407,111.079,0.608,54.1
125,Troy,111.138,107.071,0.606,51.8
126,Pacific,109.489,105.726,0.599,53.2
127,Southern Illinois,107.91,104.313,0.596,51.6
128,Cal Baptist,106.775,103.334,0.593,49
129,Marist,100.563,97.44,0.59,49.2
130,Oakland,119.648,115.985,0.588,52.4
131,Columbia,109.677,106.478,0.584,55.7
132,Quinnipiac,107.679,104.54,0.584,49.3
133,North Dakota St.,108.736,105.601,0.583,49.8
134,Kent St.,110.818,107.626,0.583,53.7
135,UNC Wilmington,109.522,106.453,0.581,50.1
136,Loyola Marymount,104.95,102.029,0.58,52.6
137,Marquette,107.465,104.856,0.57,46.5
138,Sam Houston St.,111.645,108.979,0.569,51.4
139,Elon,118.597,115.882,0.566,55.6
140,Duquesne,111.718,109.188,0.565,56.4
141,Bradley,108.231,105.895,0.562,50.4
142,Arkansas St.,111.21,108.836,0.562,50.1
143,Penn St.,113.104,110.698,0.562,53.9
144,Montana St.,109.695,107.427,0.56,52.2
145,FIU,111.02,108.937,0.554,52.3
146,Washington St.,109.878,107.825,0.554,52.7
147,Rhode Island,104.08,102.184,0.553,51.8
148,East Tennessee St.,110.309,108.436,0.549,54.8
149,New Mexico St.,110.101,108.34,0.546,50.2
150,Western Kentucky,109.614,107.998,0.543,47.2
151,Tarleton St.,108.636,107.178,0.539,51.4
152,Temple,115.956,114.482,0.537,52.8
153,Incarnate Word,111.982,110.725,0.532,51.3
154,Idaho,111.11,110.126,0.526,51.9
155,Buffalo,114.706,113.714,0.525,56.6
156,Massachusetts,105.694,104.945,0.52,52.1
157,Northern Colorado,111.756,111.085,0.517,55.3
158,Youngstown St.,106.017,105.789,0.506,53.1
159,Idaho St.,112.088,111.856,0.506,54.9
160,North Texas,99.058,98.872,0.505,47.3
161,Lipscomb,107.172,107.031,0.504,51.7
162,Fresno St.,104.517,104.415,0.503,50.9
163,Furman,108.797,108.815,0.5,54.6
