Team,janoe,jande,janbarthag,preoe,prede,prebarthag
Abilene Christian,102.9,114.8,0.221,102.1,105.8,0.399
Air Force,88.7,112.2,0.063,95.9,108.7,0.191
Akron,117.9,103.8,0.812,126,111.4,0.805
Alabama,123.8,103.1,0.891,132.8,101.6,0.956
Alabama A&M,103.6,114.6,0.239,97.5,110.7,0.188
Alabama St.,97.5,113,0.155,106.3,117.1,0.247
Albany,102.1,107.6,0.354,102.6,116.2,0.193
Alcorn St.,100.2,118.6,0.126,96.9,114.5,0.128
American,103.6,104.2,0.483,107,111.3,0.389
Appalachian St.,108,115.1,0.325,103.6,107.1,0.406
Arizona,126.4,94.1,0.968,122.7,90.2,0.972
Arizona St.,118.2,112.7,0.634,115,104.9,0.742
Arkansas,128.7,102.2,0.934,124.6,100.8,0.92
Arkansas Pine Bluff,106.6,116.1,0.273,101.3,112.6,0.229
Arkansas St.,109.5,112.1,0.433,111.2,108.2,0.578
Army,108.5,130.5,0.107,100.9,114.3,0.193
Auburn,124.9,102.1,0.91,123.3,104.1,0.875
Austin Peay,107.1,107.9,0.479,101.1,99.4,0.549
BYU,119.5,97.3,0.914,123.2,98.5,0.929
Ball St.,106.6,118.3,0.232,97.2,109.1,0.21
Baylor,115,105.5,0.729,126.2,109.4,0.838
Bellarmine,107.5,130.9,0.094,109.7,119.2,0.278
Belmont,119.3,110.3,0.711,114.6,103.2,0.769
Bethune Cookman,106.4,111.5,0.369,104.8,112.4,0.309
Binghamton,92,114.9,0.072,95,123.7,0.046
Boise St.,115.2,109.1,0.652,110.2,94.6,0.853
Boston College,102.8,97.6,0.645,100.5,100.6,0.497
Boston University,106.4,118.5,0.225,110.4,122.4,0.234
Bowling Green,114.1,109.7,0.611,106.9,100,0.683
Bradley,112.5,112.7,0.495,106.5,103.4,0.584
Brown,96.8,107.1,0.238,95.8,104.5,0.269
Bryant,90.7,117.3,0.049,96.2,113.2,0.133
Bucknell,98,116.4,0.122,96.8,108.4,0.214
Buffalo,111.9,116.1,0.396,113.5,113.5,0.5
Butler,116.8,107.8,0.716,117.9,100.4,0.864
Cal Baptist,108.6,103.6,0.632,107.7,102.8,0.631
Cal Poly,100.8,107.9,0.314,105,110.6,0.355
Cal St. Bakersfield,100.7,112.2,0.224,100.4,113.3,0.199
Cal St. Fullerton,105.1,107.6,0.433,105.2,111.6,0.336
Cal St. Northridge,105.3,106.9,0.457,108.4,111,0.432
California,116.3,102.4,0.812,111.4,100.3,0.77
Campbell,118.5,110.1,0.7,104.5,112,0.311
Canisius,98.3,116.7,0.122,93.2,112,0.108
Central Arkansas,109.8,112.9,0.421,102.3,102.7,0.489
Central Connecticut,116.2,125.8,0.286,99.5,111.8,0.207
Central Michigan,104.6,114.7,0.257,100.6,115.6,0.168
Charleston,106.8,112.1,0.364,107.8,110.2,0.437
Charleston Southern,105.6,111.4,0.351,104.6,109.2,0.379
Charlotte,116.7,114.8,0.547,109.4,110.7,0.466
Chattanooga,104.4,113.8,0.271,103.4,115.3,0.222
Chicago St.,93.7,119.9,0.055,99.3,115.8,0.146
Cincinnati,112.8,92.4,0.908,102.1,91.9,0.77
Clemson,116.8,92.5,0.936,116.3,95.4,0.907
Cleveland St.,111.1,119.4,0.304,105.8,121.5,0.169
Coastal Carolina,106.3,116.6,0.257,97.1,102.6,0.347
Colgate,110.2,116.5,0.345,109.5,108.5,0.526
Colorado,113.8,104.2,0.734,117.8,108.9,0.712
Colorado St.,119.7,110.8,0.709,121.9,112.2,0.722
Columbia,109.3,122.6,0.211,109.2,103.5,0.649
Connecticut,118.1,95.4,0.921,121.6,88,0.976
Coppin St.,99,124.5,0.067,90.5,124,0.026
Cornell,116.1,123.8,0.323,118.6,118.3,0.507
Creighton,122.3,111.7,0.739,115.1,100,0.834
Dartmouth,114.3,112.7,0.54,103,110.6,0.306
Davidson,106.4,104.6,0.549,110.6,103.7,0.677
Dayton,102.3,100.3,0.557,111,98,0.807
DePaul,112.8,102.9,0.742,104,100.7,0.592
Delaware,105.1,115.7,0.249,100.6,111.8,0.229
Delaware St.,85.8,115.3,0.032,87,109.3,0.068
Denver,118.2,123.3,0.381,113.9,121.7,0.318
Detroit Mercy,105.6,116.1,0.252,106.3,111.6,0.364
Drake,106.4,108.8,0.436,108.8,110.2,0.463
