Team,Adj OE,Adj DE,Barthag
Gonzaga,125.488,93.694,0.966
Utah St.,118.923,99.956,0.881
Saint Mary's,118.4,99.599,0.88
Saint Louis,118.319,100.183,0.871
Santa Clara,119.763,102.355,0.859
Boise St.,113.765,98.218,0.844
San Diego St.,113.898,100.201,0.814
VCU,116.807,103.364,0.803
Illinois St.,114.016,101.107,0.799
Akron,124.053,110.037,0.799
Utah Valley,111.484,99.282,0.791
Dayton,112.222,100.187,0.787
Northern Iowa,103.938,93.421,0.773
McNeese St.,113.218,101.901,0.77
Nevada,116.795,105.341,0.766
Belmont,115.059,104.26,0.756
Grand Canyon,109.124,98.981,0.754
New Mexico,112.473,102.043,0.754
George Washington,118.332,107.374,0.754
Yale,122.745,111.597,0.749
San Francisco,114.134,104.08,0.743
Colorado St.,121.176,111.318,0.726
High Point,118.871,109.481,0.72
UC San Diego,114.037,105.064,0.72
George Mason,111.878,103.632,0.707
Murray St.,117.498,109.091,0.701
Wyoming,113.564,106.061,0.687
Hawaii,105.047,98.108,0.687
William & Mary,111.188,103.904,0.685
Bowling Green,107.392,100.472,0.683
Liberty,114.001,107.125,0.672
Hofstra,112.237,105.782,0.664
Miami OH,115.27,108.863,0.659
Richmond,110.523,104.432,0.657
Cal Baptist,108.19,102.618,0.648
St. Thomas,111.332,105.683,0.645
Seattle,105.469,100.393,0.638
UC Irvine,103.501,98.705,0.633
Middle Tennessee,109.549,104.641,0.629
Davidson,110.781,105.898,0.627
Stephen F. Austin,108.847,104.07,0.626
Rhode Island,108.391,103.799,0.622
Wright St.,109.149,104.833,0.614
St. Bonaventure,111.891,107.516,0.613
New Mexico St.,109.964,105.795,0.609
Bradley,107.852,104.015,0.603
Columbia,110.468,106.626,0.6
Loyola Marymount,105.433,101.822,0.599
Quinnipiac,107.122,103.62,0.594
UNLV,111.668,108.189,0.59
Elon,119.571,115.911,0.588
Duquesne,111.451,108.112,0.587
Kent St.,111.434,108.146,0.585
Troy,109.617,106.484,0.583
UNC Wilmington,112.587,109.438,0.581
North Dakota St.,108.408,105.767,0.57
Southern Illinois,108.408,105.841,0.568
Arkansas St.,111.972,109.554,0.562
Youngstown St.,105.819,103.837,0.554
Sam Houston St.,110.561,108.658,0.55
Northern Colorado,111.704,109.863,0.548
Oakland,116.424,114.944,0.537
Washington St.,109.738,108.376,0.536
Pacific,106.809,105.497,0.535
Furman,109.334,108.21,0.53
Massachusetts,104.519,103.687,0.523
Marist,101.084,100.288,0.523
