Team,Conference,NETNCSOS
Michigan,Big Ten,11
Duke,ACC,36
Gonzaga,WCC,21
Arizona,Big 12,26
Iowa St.,Big 12,93
BYU,Big 12,29
Connecticut,Big East,7
Vanderbilt,SEC,110
Purdue,Big Ten,45
Michigan St.,Big Ten,27
Nebraska,Big Ten,238
Illinois,Big Ten,31
Kansas,Big 12,8
Alabama,SEC,3
Houston,Big 12,164
North Carolina,ACC,90
Louisville,ACC,68
Georgia,SEC,303
Iowa,Big Ten,218
Arkansas,SEC,52
Virginia,ACC,183
Tennessee,SEC,37
Florida,SEC,6
Saint Mary's (CA),WCC,85
St. John's (NY),Big East,35
Texas Tech,Big 12,18
Indiana,Big Ten,133
Kentucky,SEC,23
Utah St.,Mountain West,223
Saint Louis,Atlantic 10,332
Clemson,ACC,78
LSU,SEC,233
Miami (FL),ACC,178
Auburn,SEC,20
Villanova,Big East,147
NC State,ACC,53
Boise St.,Mountain West,34
Seton Hall,Big East,211
Southern California,Big Ten,124
Tulsa,American,296
SMU,ACC,111
UCLA,Big Ten,62
UCF,Big 12,191
McNeese,Southland,99
Yale,Ivy League,331
Colorado,Big 12,260
Butler,Big East,115
Wake Forest,ACC,145
Ohio St.,Big Ten,342
UC San Diego,Big West,323
Arizona St.,Big 12,70
Texas,SEC,41
Wyoming,Mountain West,256
Colorado St.,Mountain West,291
Oklahoma,SEC,55
Utah Valley,WAC,143
Akron,MAC,175
Santa Clara,WCC,81
Virginia Tech,ACC,169
Washington,Big Ten,203
Belmont,MVC,345
New Mexico,Mountain West,153
George Mason,Atlantic 10,327
VCU,Atlantic 10,59
Baylor,Big 12,184
California,ACC,289
Notre Dame,ACC,87
Wisconsin,Big Ten,166
Kansas St.,Big 12,65
TCU,Big 12,108
Miami (OH),MAC,365
William & Mary,CAA,96
Missouri,SEC,278
Oklahoma St.,Big 12,268
Dayton,Atlantic 10,170
Northwestern,Big Ten,228
South Fla.,American,118
Sam Houston,CUSA,71
George Washington,Atlantic 10,190
Murray St.,MVC,177
Columbia,Ivy League,283
Richmond,Atlantic 10,319
Texas A&M,SEC,251
San Diego St.,Mountain West,116
Illinois St.,MVC,247
Bowling Green,MAC,249
UNI,MVC,310
Nevada,Mountain West,229
Hofstra,CAA,185
Syracuse,ACC,38
Providence,Big East,128
Wichita St.,American,102
Pacific,WCC,112
UNCW,CAA,362
Davidson,Atlantic 10,210
St. Bonaventure,Atlantic 10,269
California Baptist,WAC,193
Ole Miss,SEC,114
West Virginia,Big 12,241
Winthrop,Big South,80
Xavier,Big East,155
Northern Colo.,Big Sky,263
Lipscomb,ASUN,50
Mercer,SoCon,75
ETSU,SoCon,208
Rhode Island,Atlantic 10,192
Penn St.,Big Ten,361
South Carolina,SEC,194
Stanford,ACC,324
SFA,Southland,348
Fla. Atlantic,American,316
Creighton,Big East,24
Idaho St.,Big Sky,109
Seattle U,WCC,349
St. Thomas (MN),Summit League,280
High Point,Big South,357
Hawaii,Big West,346
Marshall,Sun Belt,230
San Francisco,WCC,156
Western Ky.,CUSA,135
Georgetown,Big East,100
Grand Canyon,Mountain West,154
Minnesota,Big Ten,277
Memphis,American,44
Southern Ill.,MVC,225
UAB,American,270
Oregon,Big Ten,243
New Mexico St.,CUSA,258
Cincinnati,Big 12,140
North Dakota St.,Summit League,350
Middle Tenn.,CUSA,33
UT Arlington,WAC,284
UC Irvine,Big West,246
Mississippi St.,SEC,131
Bradley,MVC,318
Idaho,Big Sky,144
Austin Peay,ASUN,120
Siena,MAAC,352
Liberty,CUSA,235
Troy,Sun Belt,182
Towson,CAA,42
