Team,off_poss_length,off,def
William & Mary,13.5,109.7,105.6
IU Indy,14.1,102.5,120.7
Georgia,14.2,120.9,99.1
Saint Louis,14.2,116.4,98.9
Alabama,14.3,125.7,100.9
Cal St. Fullerton,14.3,104.9,111.5
Florida St.,14.3,111.5,104.9
Cornell,14.3,114.1,115
Cal Poly,14.4,104.5,110.8
FIU,14.6,106.1,108.1
Louisville,14.7,127,99.3
Kennesaw St.,14.8,110,110.9
Michigan,14.8,125.2,87.6
South Florida,14.8,112.9,103.4
St. John's,15,120.7,96.4
Texas A&M,15,117,101.7
Marquette,15,110.4,102.8
Arkansas St.,15,108.8,108.1
Kansas St.,15.1,116.9,104.7
Akron,15.2,122.5,109.7
Kentucky,15.2,119.2,96.4
Cincinnati,15.2,104.2,93.7
Arkansas,15.3,120.8,99.4
SMU,15.3,118.6,101.7
BYU,15.4,124.3,96.2
Duke,15.4,124,91.4
Providence,15.4,119.5,107
Butler,15.4,119.1,103.7
Belmont,15.4,114.3,103.4
UNLV,15.4,109.3,107.7
Radford,15.5,105,111.8
Kent St.,15.5,113.1,110.7
Sam Houston St.,15.5,112.4,107.9
Vanderbilt,15.5,125.8,98.4
CSUN,15.5,107,111.6
Georgia Southern,15.6,107.2,113.3
Longwood,15.6,102.5,115.7
N.C. State,15.6,120.8,100.7
Oklahoma St.,15.6,117,102.3
Duquesne,15.7,109.4,107.4
High Point,15.7,116.8,109.6
Southern,15.7,104.2,108.8
Xavier,15.7,112.8,102.5
UCF,15.7,119.6,104.5
Southern Illinois,15.7,109.4,105
Charleston Southern,15.7,102.3,110.5
Gonzaga,15.7,125.2,92.2
Iowa St.,15.7,123.6,90.7
Marshall,15.7,108.9,108.3
George Washington,15.8,117.7,107.1
Lindenwood,15.8,101.7,108.6
Georgia Tech,15.8,103.7,101
Arizona,15.8,124.9,92.6
Miami FL,15.8,116.4,97.9
Winthrop,15.8,115.9,110.3
Prairie View A&M,15.9,100,112.5
McNeese,15.9,113.6,101.2
Miami OH,15.9,112.3,107.5
LSU,15.9,119.3,100.1
Murray St.,16,115.8,108
Wake Forest,16,117,99.8
Western Kentucky,16,107.8,106.7
Northwestern,16,118,103.9
Iona,16,107,108.7
Missouri,16,120.1,104.7
Arkansas Pine Bluff,16,98.1,116
Ohio St.,16,119,101.1
Sacramento St.,16,101.4,110.6
Massachusetts,16,105.7,105.8
South Dakota,16.1,106.6,115.5
Milwaukee,16.1,106.7,113
Northern Kentucky,16.1,106.5,109.4
Lipscomb,16.1,108.1,105.6
VCU,16.1,114.9,98.3
Florida,16.1,119.9,93.6
Colorado,16.2,119.3,105.9
USC,16.2,118.4,100.4
Queens,16.2,115,118.3
Quinnipiac,16.2,105.7,105.9
Tennessee Tech,16.2,102.3,110.4
