Team,off_rtg,three_pt_rate,tempo
Michigan,126.199,43.3,73.54
Duke,122.582,47.5,68.694
Houston,119.824,42.4,63.987
Gonzaga,123.461,31.8,71.455
Connecticut,122.633,37.2,66.108
Arizona,122.892,26.9,72.078
Iowa St.,122.464,36.2,70.474
Purdue,126.431,38.4,65.441
Vanderbilt,127.381,45.7,71.135
Louisville,126.509,55.4,71.957
Michigan St.,118.213,33.4,66.171
Alabama,127.151,53.5,74.222
Illinois,125.993,45.8,68.133
St. John's,120.995,36.5,71.797
BYU,122.795,38.5,69.957
Florida,118.466,42.6,71.269
Kansas,116.928,38.1,66.891
Tennessee,119.63,34.7,68.379
Indiana,119.959,48.4,69.181
Iowa,121.467,40.5,63.969
Arkansas,121.829,37.8,71.009
Nebraska,120.054,50.7,69.794
Virginia,123.733,45.7,67.848
North Carolina,118.255,41.9,68.71
UCLA,120.153,33.3,65.434
Kentucky,118.052,42,69.611
Georgia,120.102,45.5,76.497
N.C. State,121.403,44,70.769
Saint Mary's,115.675,33.3,67.32
Texas Tech,119.432,45.7,67.865
Miami FL,117.096,31.8,71.274
Ohio St.,119.686,42.1,69.899
USC,120.097,35.6,71.611
Clemson,117.457,43.7,65.073
LSU,119.626,34,69.443
Auburn,122.947,40.1,69.295
Boise St.,114.138,39.2,67.53
Wisconsin,118.181,51.2,71.018
Saint Louis,116.583,43,73.373
Wake Forest,116.957,43.1,71.117
Santa Clara,118.476,45.4,69.826
Texas,119.667,37.5,68.402
Villanova,118.538,47.5,64.332
Missouri,119.983,36.5,68.776
Texas A&M,117.853,47.9,72.882
Utah St.,116.438,36.4,69.329
Baylor,121.807,37.1,70.874
West Virginia,111.598,41.7,64.844
SMU,117.06,31.8,70.029
San Diego St.,115.162,35.6,69.275
Oklahoma St.,117.491,35.6,74.689
TCU,112.588,38.7,69.261
Seton Hall,111.794,30.6,66.699
VCU,113.522,46.2,71.039
Oklahoma,118.995,47.3,67.007
Washington,116.494,33.2,67.725
Butler,117.708,34.9,70.503
Northwestern,116.542,33.5,67.974
Oregon,115.725,43.4,68.621
Virginia Tech,115.955,38.3,70.031
Notre Dame,115.132,41.3,66.12
Syracuse,112.818,38.5,67.954
UCF,117.948,33.6,70.036
Colorado St.,121.47,50,62.653
McNeese St.,111.638,32.5,67.875
Mississippi,113.82,35,65.936
Creighton,115.465,49,65.463
Akron,122.155,41.9,72.547
Arizona St.,115.003,39.2,69.554
South Florida,115.165,44.2,72.921
Dayton,112.197,43.1,69.43
Memphis,112.605,33.3,69.385
George Mason,111.438,36.4,65.914
Colorado,118.82,30,69.906
Utah Valley,109.828,35.3,70.487
