team,Barthag,adjusted_tempo,efg,ft_rate,tov_pct,oreb_pct,three_pa_rate,assist_rate,cluster
Michigan,0.98,73.91,61.2,35.5,16.9,35.2,43.3,62.8,2
Connecticut,0.962,66.294,56.1,30.8,15.5,33.8,36.8,62.6,6
Gonzaga,0.961,72.043,58,30.5,14.3,37.4,30.5,56.7,2
Houston,0.961,64.202,52.4,24,14.5,38.8,42.4,61.7,6
Duke,0.96,69.763,58.4,40.3,15.9,37.9,46.3,62.5,5
Arizona,0.958,72.821,57.9,41.3,17.3,40.9,27.2,58.5,2
Iowa St.,0.953,70.556,60.6,34,14.4,36.5,36.2,55.3,2
Vanderbilt,0.952,71.724,58.2,38.2,14.1,33.6,46.1,59.9,4
Michigan St.,0.949,66.552,52.2,33.8,17.6,41,33.5,69.8,6
Purdue,0.948,65.683,58.1,28.3,15.4,42.3,38.4,65.3,6
BYU,0.941,70.645,56.4,32.5,13.5,33.5,39.1,48.8,4
Tennessee,0.94,68.186,53.5,36.4,18.8,44.7,34.6,65.1,6
Alabama,0.939,74.238,56.8,35.6,14,32.5,53,54.4,4
Kansas,0.939,67.337,52.3,34.4,15.6,29.2,38.2,56.5,3
Illinois,0.939,68.427,55.6,35.7,13.6,38,45.8,47.6,4
Louisville,0.938,71.819,57.1,40.3,15.4,35,55.7,62.9,5
St. John's,0.936,72.032,54.2,46,17.5,37.8,36.7,54.7,1
Florida,0.931,71.094,51.1,41.8,19.1,42.8,42.8,54.9,1
Iowa,0.923,64.219,60.2,42.7,15.8,30.8,40.5,63.3,5
Indiana,0.922,69.635,58.1,39,14.9,28.9,48.4,66.9,5
Arkansas,0.916,71.84,56,38.7,13.1,32.6,38.3,58.7,4
Nebraska,0.915,69.92,57.6,28.8,13.9,26.8,50.7,63.1,7
Virginia,0.912,67.883,58,41.5,15.2,41.9,45.7,57.5,5
North Carolina,0.91,68.169,54.2,41.8,14.7,34.9,42.6,59.7,5
UCLA,0.903,65.813,54.8,36.1,15.7,33.7,34.2,59.3,3
Kentucky,0.902,69.796,54.6,32.2,13.7,33.2,42,60.4,4
Georgia,0.899,76.469,56,40,14.9,38.6,45.5,51.8,1
N.C. State,0.892,70.794,57.8,36.1,13.4,30.3,45.4,56.3,4
Saint Mary's,0.886,67.424,52.9,41,18.1,37.4,33.3,52.3,3
Saint Louis,0.883,74.187,59.6,36.4,18.2,37.5,43.2,58.4,2
Texas Tech,0.877,67.928,54.9,32.2,14.2,35.8,45.9,54.9,4
Clemson,0.874,65.619,52.5,40.3,13.3,35.1,42.8,54.1,3
Ohio St.,0.873,70.112,58.5,41.6,15.5,31.1,42.2,57,4
Miami FL,0.871,71.62,57.8,36.2,16.4,39,32.1,60.8,2
LSU,0.871,69.541,57.1,42,15.6,34.7,34,51.1,3
Auburn,0.869,69.428,54.4,46.7,15.5,39.7,40.1,47.8,1
Boise St.,0.868,67.909,50,41,17.3,31.9,39.2,50.2,3
USC,0.858,71.697,55.4,53.3,16.6,32.6,35.2,57.6,1
Wisconsin,0.857,71.191,52.7,33.8,14.3,32.5,51.2,56,4
Texas,0.85,68.871,54.2,48.7,15,37.9,38.4,46.8,1
Villanova,0.842,64.338,55.9,29.9,15.5,39.2,47.5,57.3,6
Santa Clara,0.84,69.887,51.9,25.9,18.3,40.8,45.3,61.1,6
Missouri,0.839,69.021,60.5,39.5,18.9,39.7,36.5,50.3,2
Texas A&M,0.835,73.078,56,43.7,16.1,36.1,47.9,70.7,5
Baylor,0.834,70.934,54.3,39.1,15.6,41.2,37.1,51.6,1
Utah St.,0.834,69.816,55.8,37.4,17.5,35.6,36.4,58.6,2
Wake Forest,0.831,70.98,53.8,36.1,15.9,34.3,43.2,55.4,4
Oklahoma St.,0.829,74.854,54.3,41,17,32.9,35.6,52.4,1
SMU,0.828,70.235,53.9,39.7,15.4,34.5,31.8,55.7,3
Creighton,0.826,66.045,54.1,25.4,17.1,32.3,49.3,62.8,6
Seton Hall,0.825,66.862,51.5,35.4,15.7,34.9,30.6,56.3,3
West Virginia,0.82,64.803,52.1,43,16.2,32.8,41.7,55.4,3
San Diego St.,0.819,69.409,55.3,36.2,19.4,33.7,35.6,60.2,2
VCU,0.814,70.55,53.5,46.1,17.5,35.3,47.4,56.4,1
Oklahoma,0.809,67.39,54,34.2,13.6,35.1,46.7,54.8,4
UCF,0.807,69.864,55.8,34,17,42.4,33.8,56.1,2
Washington,0.806,67.991,51.5,38.5,14.9,38.8,33.2,48.6,3
Northwestern,0.805,68.286,56.1,42.1,13.8,32,33.6,63.4,3
Butler,0.804,70.784,54.1,45,16,39.1,35.3,56.4,1
TCU,0.803,69.255,51.3,37.9,16.4,32,38.1,55.9,3
Dayton,0.8,69.98,53.8,49.6,16.4,26.9,43.3,57.1,1
Virginia Tech,0.797,70.267,53.9,32.8,12.6,30.7,38.3,54.7,4
Notre Dame,0.796,66.218,55.8,33.3,17.4,32.8,41.3,48.5,3
Oregon,0.79,69.346,50.4,42.2,18.8,38.8,44.2,58.2,1
Colorado St.,0.787,62.968,64.8,37.6,17.2,32,50,65,5
Mississippi,0.785,66.089,51.9,39.4,15.7,32.2,35.1,57.2,3
Syracuse,0.785,68.691,51.9,37.2,16.3,30.1,37.5,50.7,3
McNeese St.,0.78,67.855,54.1,37,15.5,36.1,33,50.5,3
Utah Valley,0.779,70.264,56.6,32.4,21.6,34.6,35.6,62,2
South Florida,0.779,73.047,50.1,44.9,15.7,39.1,44,56.3,1
Akron,0.778,72.805,61.2,32.8,13.8,34.6,41.9,58.5,4
Memphis,0.777,69.793,47.4,35.8,18.8,36.5,33.1,51.9,3
Cincinnati,0.776,71.561,49.9,37.4,18.4,30.3,48.7,69.2,5
Arizona St.,0.771,70.082,53.9,44.8,15.7,28.9,39.6,51.4,1
George Mason,0.769,66.312,53.9,49,16.8,33.8,36.4,53.7,3
Kansas St.,0.769,73.792,57,31.8,17.7,34.7,42.2,61.4,2
Yale,0.765,66.622,58.3,41.2,13.9,35.7,33.6,57.1,3
George Washington,0.76,71.597,55.8,45.3,17.5,35.7,42.4,54.6,1
Colorado,0.757,70.196,57.5,44.1,13.7,34.3,30.4,56.4,3
Stanford,0.757,71.293,51.8,42.2,16.5,36,41.3,48,1
Northern Iowa,0.75,63.685,52.3,29.6,14.2,21.2,41.7,65.2,7
