,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Michigan,126.481,89.81,0.981,11–0,11,11,61.6,41.3,36.6,24.5,16.5,17.7,35,26.4,74.9,64.1,38.6,38.9,30.2,16.3,7.3,63.8,42.2,43.6,40.9,74.68,78.579,82.532,1.885,"2,026",0,0,67.912,,71.6,70.2,1.257,0.871,26.521,Michigan
2,Connecticut,121.691,91.641,0.963,12–1,12,13,55.8,41.7,30.6,40.8,16,19.4,34.1,28.1,67.5,58.2,42.9,34.4,26.2,17.1,8.8,62.1,40.8,36.4,34.8,66.422,78.299,81.41,2.077,"2,026",0,0,81.089,,69.8,73.4,1.163,0.905,31.151,Connecticut
3,Arizona,122.533,92.409,0.962,11–0,11,11,56.6,44.1,41.8,32,17.3,18.9,42.1,25.7,72.1,57.5,42.6,36.3,31.2,10.6,9.3,58.5,48.6,28.6,35.6,71.797,79.072,81.791,1.403,"2,026",0,0,71.899,,72.3,66.7,1.221,0.907,29.934,Arizona
4,Houston,121.547,91.694,0.962,11–1,11,12,53.1,43.9,25.3,40.4,14.3,23,38.2,31.3,65.9,53.4,45.3,35.1,27.8,13.7,6.1,59.8,46.7,42.3,40.6,64.652,77.848,80.739,1.561,"2,026",0,0,81.405,,75.1,66.5,1.194,0.902,20.227,Houston
5,Vanderbilt,127.296,96.095,0.962,12–0,12,12,59.3,44.8,37.4,46.2,14.3,19.9,32.8,26.5,74.3,62.6,45.7,37,29,14.7,4.9,60.4,45.2,46.7,40.3,71.595,77.085,79.894,2.463,"2,026",0,0,38.359,,76,76.6,1.254,0.962,21.998,Vanderbilt
6,Gonzaga,124.48,94.321,0.96,12–1,12,13,57.8,45.4,31.6,35.5,13.8,20.6,37.2,24.2,73.9,58.9,48.2,36.8,28,11.1,6.8,57.5,53.9,31,45.5,71.607,78.134,80.938,2.197,"2,026",0,0,35.466,,71.9,68.9,1.249,0.913,29.252,Gonzaga
7,Iowa St.,123.48,94.036,0.958,12–0,12,12,60.9,48.2,33.4,24.8,14.6,25.7,36.7,28.6,71,60,48.3,41.6,32.1,10,6.6,56.1,54.8,35.8,39.1,70.716,78.119,81.354,1.955,"2,026",0,0,48.062,,68.5,66.3,1.275,0.888,23.229,Iowa St.
8,Duke,122.367,93.318,0.958,11–1,11,12,58.6,42.1,41.4,24.3,15.9,18.7,36.6,26.3,70.9,63.5,42.9,35.3,27.4,13,6.3,61.9,53,46.7,43,69.863,79.435,81.496,0.894,"2,026",0,0,90.678,,70.3,71.1,1.23,0.883,28.355,Duke
9,Purdue,127.119,97.083,0.957,11–1,11,12,58.7,47,27.4,20.9,15.5,15.5,42.1,28.2,67,57.9,47.9,40.1,30.6,11.9,6.9,65.2,55.6,38.9,45.2,65.647,77.749,82.4,1.954,"2,026",0,0,57.943,,75.2,68.8,1.267,0.992,25.79,Purdue
10,Michigan St.,118.386,92.463,0.945,11–1,11,12,52.1,45.5,34.2,29.5,17.5,16.8,41.1,22.7,67.3,51.4,45.3,35.7,30.5,16.9,7.5,69.7,54.8,33.7,44.7,66.34,78.44,81.694,1.875,"2,026",0,0,66.745,,74.1,73.4,1.159,0.941,25.098,Michigan St.
11,Alabama,129.255,101.342,0.943,9–3,9,12,56.2,47.6,35.2,32,13.7,14.4,32.2,34,76.7,60.1,47.8,35.2,31.5,15.7,8.5,54.3,47.9,52,35.5,74.398,78.304,81.522,1.441,"2,026",0,0,73.53,,76.1,68,1.224,1.068,35.907,Alabama
12,Louisville,125.282,98.577,0.94,10–2,10,12,57.5,44.4,39.3,32.6,15.7,19.1,35.4,26.6,73.7,61.8,43.9,36,30.1,9.2,11.5,63.6,47.3,55.4,38.7,71.924,78.311,81.753,2.131,"2,026",0,0,41.377,,76.5,72.2,1.243,0.925,24.222,Louisville
